Name,Wiki URL,Image URL,Description
A. K. Hangal,https://en.wikipedia.org/wiki/A._K._Hangal,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_K_Hangal_at_14th_Hira_Manik_Awards.jpg/220px-A_K_Hangal_at_14th_Hira_Manik_Awards.jpg,"Avtar Kishan Hangal (1 February 1914 – 26 August 2012), popularly known as A. K. Hangal, was an Indian freedom fighter from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005. His most notable roles are as Ram Shastri in Aaina (1977), as the Inder Sen in Shaukeen, as Bipinlal Pandey in Namak Haraam, as Imaam Saa'b in Sholay, as Anokhelal in Manzil and the antagonist in Prem Bandhan and the 16 films he did with Rajesh Khanna. He has acted in around 225 Hindi films in a career spanning from 1966 to 2005."
Aanjjan Srivastav,https://en.wikipedia.org/wiki/Anjan_Srivastav,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Aanjjan_Srivastav.jpg/220px-Aanjjan_Srivastav.jpg,"Aanjjan Srivastav (born 2 June 1948) is an Indian film, television and stage actor, associated with Indian People's Theatre Association (IPTA) in Mumbai of which he remained Vice-President for several years. Outside theatre, he is best known as a character actor in Marathi and Hindi films, most notably, Mira Nair's Salaam Bombay!,  Mississippi Masala and Anupam Mittal's Flavors and Bollywood films like Gol Maal, Bemisal, Khuda Gawah, Kabhi Haan Kabhi Naa and Pukar."
Amol Palekar,https://en.wikipedia.org/wiki/Amol_Palekar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/AmolPalekar.jpg/220px-AmolPalekar.jpg,"Amol Palekar (born 24 November 1944) is an Indian actor, director and producer of Hindi and Marathi cinema."
Amitabh Bachchan,https://en.wikipedia.org/wiki/Amitabh_Bachchan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Amitabh_Bachchan_December_2013.png/220px-Amitabh_Bachchan_December_2013.png,"Amitabh Bachchan (pronounced ; born Inquilaab Srivastava; 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood. Referred to as the Shahenshah of Bollywood, Sadi ka Mahanayak (Hindi for, ""Greatest actor of the century""), Star of the Millennium, or Big B, he has since appeared in over 200 Indian films in a career spanning more than five decades. Bachchan is widely regarded as one of the greatest and most influential actors in the history of Indian cinema as well as world cinema. So total was his dominance on the Indian movie scene in the 1970s and 1980s that the French director François Truffaut called him a ""one-man industry"". Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (especially South Africa and Mauritius), the Middle East (especially Egypt), the United Kingdom, Russia, the Caribbean (especially Guyana, Suriname, and Trinidad and Tobago), Oceania (especially Fiji, Australia, and New Zealand) and parts of the United States."
Anil Kapoor,https://en.wikipedia.org/wiki/Anil_Kapoor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Anil_Kapoor_snapped_at_Race_3_interviews_at_Sun_N_Sand_hotel_in_Juhu.jpg/220px-Anil_Kapoor_snapped_at_Race_3_interviews_at_Sun_N_Sand_hotel_in_Juhu.jpg,"Anil Kapoor (born 24 December 1956) is an Indian actor and producer who has appeared in over hundred Hindi-language films, as well as international films and television series. His career has spanned 40 years as an actor, and as a producer since 2005. He has also won numerous awards in his career, including two National Film Awards and six Filmfare Awards in varied acting categories."
Aniruddha Jatkar,https://en.wikipedia.org/wiki/Aniruddha_Jatkar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Aniruddha_Jatkar.jpg/220px-Aniruddha_Jatkar.jpg,Aniruddha Jatkar (Anirudh) is an Indian film and theatre artist who predominantly works in Kannada Films. He is the son-in-law of Kannada actor Vishnuvardhan and Bharathi Vishnuvardhan.
Amrish Puri,https://en.wikipedia.org/wiki/Amrish_Puri,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Amrish_Puri.jpg/220px-Amrish_Puri.jpg,"Amrish Lal Puri (22 June 1932 – 12 January 2005) was an Indian actor, who was an important figure in Indian theatre and cinema."
Amjad Khan (actor),https://en.wikipedia.org/wiki/Amjad_Khan_(actor),https://upload.wikimedia.org/wikipedia/en/thumb/2/27/AmjadKhan.jpg/220px-AmjadKhan.jpg,"Amjad Khan (12 November 1940 – 27 July 1992) was an Indian actor and director. He worked in over 130 films in a career spanning nearly twenty years. He enjoyed popularity for villainous roles in Hindi films, the most famous being the iconic Gabbar Singh in the 1975 classic Sholay and of Dilawar in Muqaddar Ka Sikandar (1978)."
Alok Nath,https://en.wikipedia.org/wiki/Alok_Nath,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/AlokNath.jpg/220px-AlokNath.jpg,"Alok Nath (born 10 July 1956) is an Indian film character actor known for his work in Hindi cinema and television. He made his film debut with the 1982 film Gandhi, which won the Academy Award for Best Picture that year. He appeared in the soap opera Buniyaad which took the country by a storm in 1986. He was also in Rishtey, which aired from 1999–2001. He appeared in Star Plus serials like Sapna Babul Ka...Bidaai, Yahaaan Main Ghar Ghar Kheli and Yeh Rishta Kya Kehlata Hai."
Allu Arjun,https://en.wikipedia.org/wiki/Allu_Arjun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Allu_Arjun_at_62nd_Filmfare_awards_south.jpg/220px-Allu_Arjun_at_62nd_Filmfare_awards_south.jpg,"Allu Arjun (born 8 April 1982) is an Indian film actor who primarily works in Telugu cinema. After playing as a child artist in Vijetha and as a dancer in Daddy, Arjun made his adult debut in Gangotri."
Allari Naresh,https://en.wikipedia.org/wiki/Allari_Naresh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Allari_Naresh.jpg/220px-Allari_Naresh.jpg,Allari Naresh is an Indian film actor who appears in Telugu-language films. He is the son of veteran Telugu director and producer E. V. V. Satyanarayana.
Anant Nag,https://en.wikipedia.org/wiki/Ananth_Nag,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Anantnag_actor.jpg/220px-Anantnag_actor.jpg,"Anant Nagarkatte (born 4 September 1948) known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies. He acted in Malgudi Days, directed by his younger brother Shankar Nag, based on the stories by R. K. Narayan. He is fluent in Kannada, Konkani, Marathi, English,and Hindi. He won six Filmfare Awards South and five Karnataka State Film Awards."
Amar Talwar,https://en.wikipedia.org/wiki/Amar_Talwar,,"Amar Talwar (born 4 May 1922) is an artist and Bollywood actor. He appeared in the historical television series  Shanti, in which he played Raj 'G.J.' Singh."
Ambareesh,https://en.wikipedia.org/wiki/Ambareesh,https://upload.wikimedia.org/wikipedia/commons/4/44/M.H.Ambareesh.jpg,"Malavalli Huchche Gowda Amarnath (29 May 1952 – 24 November 2018), known by his screen name Ambareesh, was an Indian actor, media personality and politician from the State of Karnataka. Alongside Rajkumar and Vishnuvardhan, he is counted in Kannada cinema's ""triumvirate"" as its most celebrated actors."
